user_id,d,b,alpha,offload,f_i,B_i
0,1454499694.7695441,4680256.938156996,1.669294423501639,0,0.0,0.0
1,1128540985.9405913,1856951.1253164236,1.2245546145393684,0,0.0,0.0
2,640854867.0407609,948299.7289068145,0.7735558455516052,0,0.0,0.0
3,881740245.2232065,600094.8816023583,0.6178631246332639,0,0.0,0.0
4,537620923.3578906,555418.1124121586,1.423613146767615,0,0.0,0.0
5,1200227049.6329017,3626787.2566611827,1.6548265850820425,0,0.0,0.0
6,1543953022.6962497,4093450.413457302,1.6828665739573032,0,0.0,0.0
7,1139402720.4047608,3113652.760342364,0.80870627516578,0,0.0,0.0
8,711702195.108468,296162.1437919807,1.0046347159450386,0,0.0,0.0
9,1841217296.3169558,3116231.9378939285,1.366514907177005,0,0.0,0.0
